Species,Number,Type,HP,M Atk,M Def,R Atk,R Def,Speed,Wiki Link
Magikrab,000,Astral,105,160,105,160,150,120,https://wiki.cassettebeasts.com/wiki/Magikrab
Springheel,001,Beast,90,130,80,80,90,130,https://wiki.cassettebeasts.com/wiki/Springheel
Hopskin,002,Beast,90,170,100,90,100,150,https://wiki.cassettebeasts.com/wiki/Hopskin
Ripterra,003,Beast,120,200,100,90,120,170,https://wiki.cassettebeasts.com/wiki/Ripterra
Snoopin,004,Beast,90,160,80,150,90,130,https://wiki.cassettebeasts.com/wiki/Snoopin
Scampire,005,Beast,120,160,80,180,90,170,https://wiki.cassettebeasts.com/wiki/Scampire
Carniviper,006,Poison,60,120,80,120,80,140,https://wiki.cassettebeasts.com/wiki/Carniviper
Masquerattle,007,Poison,90,140,80,140,90,160,https://wiki.cassettebeasts.com/wiki/Masquerattle
Jormungold,008,Poison,100,155,100,155,100,190,https://wiki.cassettebeasts.com/wiki/Jormungold
Mardiusa,009,Poison,130,160,100,120,130,160,https://wiki.cassettebeasts.com/wiki/Mardiusa
Aeroboros,010,Air,190,30,100,160,160,160,https://wiki.cassettebeasts.com/wiki/Aeroboros
Traffikrab,011,Plastic,80,120,80,120,110,90,https://wiki.cassettebeasts.com/wiki/Traffikrab
Weevilite,012,Plastic,120,120,120,160,120,160,https://wiki.cassettebeasts.com/wiki/Weevilite
Lobstacle,013,Plastic,150,120,160,120,160,90,https://wiki.cassettebeasts.com/wiki/Lobstacle
Candevil,014,Beast,115,110,100,110,105,100,https://wiki.cassettebeasts.com/wiki/Candevil
Malchemy,015,Poison,120,125,110,145,110,130,https://wiki.cassettebeasts.com/wiki/Malchemy
Miasmodeus,016,Poison,130,150,120,170,120,150,https://wiki.cassettebeasts.com/wiki/Miasmodeus
Vendemon,017,Metal,130,110,130,120,130,120,https://wiki.cassettebeasts.com/wiki/Vendemon
Gumbaal,018,Metal,150,110,160,130,160,130,https://wiki.cassettebeasts.com/wiki/Gumbaal
Bansheep,019,Beast,115,110,105,110,100,100,https://wiki.cassettebeasts.com/wiki/Bansheep
Wooltergeist,020,Astral,120,145,110,125,110,130,https://wiki.cassettebeasts.com/wiki/Wooltergeist
Ramtasm,021,Astral,130,170,120,150,120,150,https://wiki.cassettebeasts.com/wiki/Ramtasm
Zombleat,022,Earth,130,130,130,110,130,110,https://wiki.cassettebeasts.com/wiki/Zombleat
Capricorpse,023,Earth,160,140,160,110,160,110,https://wiki.cassettebeasts.com/wiki/Capricorpse
Sirenade,024,Air,110,70,80,130,120,90,https://wiki.cassettebeasts.com/wiki/Sirenade
Decibelle,025,Air,135,100,110,170,160,125,https://wiki.cassettebeasts.com/wiki/Decibelle
Dandylion,026,Plant,120,80,120,100,120,60,https://wiki.cassettebeasts.com/wiki/Dandylion
Blossomaw,027,Plant,160,100,160,130,160,90,https://wiki.cassettebeasts.com/wiki/Blossomaw
Macabra,028,Beast,140,120,60,100,100,120,https://wiki.cassettebeasts.com/wiki/Macabra
Folklord,029,Beast,140,135,135,100,120,120,https://wiki.cassettebeasts.com/wiki/Folklord
Dominoth,030,Air,100,100,100,100,120,80,https://wiki.cassettebeasts.com/wiki/Dominoth
Wingloom,031,Lightning,120,100,120,100,120,90,https://wiki.cassettebeasts.com/wiki/Wingloom
Mothmanic,032,Lightning,130,110,120,180,140,120,https://wiki.cassettebeasts.com/wiki/Mothmanic
Tokusect,033,Air,120,170,120,100,120,170,https://wiki.cassettebeasts.com/wiki/Tokusect
Squirey,034,Beast,90,110,110,100,90,100,https://wiki.cassettebeasts.com/wiki/Squirey
Manispear,035,Metal,110,120,170,100,150,100,https://wiki.cassettebeasts.com/wiki/Manispear
Palangolin,036,Metal,150,120,120,100,100,160,https://wiki.cassettebeasts.com/wiki/Palangolin
Kittelly,037,Lightning,100,110,90,110,90,100,https://wiki.cassettebeasts.com/wiki/Kittelly
Cat-5,038,Lightning,150,160,100,120,120,150,https://wiki.cassettebeasts.com/wiki/Cat-5
Puppercut,039,Metal,100,120,110,80,80,110,https://wiki.cassettebeasts.com/wiki/Puppercut
Southpaw,040,Metal,130,160,140,110,110,150,https://wiki.cassettebeasts.com/wiki/Southpaw
Bulletino,041,Fire,80,70,70,100,70,200,https://wiki.cassettebeasts.com/wiki/Bulletino
Velocirifle,042,Fire,100,100,100,140,100,160,https://wiki.cassettebeasts.com/wiki/Velocirifle
Artillerex,043,Fire,110,170,120,170,110,120,https://wiki.cassettebeasts.com/wiki/Artillerex
Gearyu,044,Metal,110,120,170,170,110,120,https://wiki.cassettebeasts.com/wiki/Gearyu
Diveal,045,Water,100,100,125,125,100,50,https://wiki.cassettebeasts.com/wiki/Diveal
Scubalrus,046,Water,130,125,160,160,125,100,https://wiki.cassettebeasts.com/wiki/Scubalrus
Nevermort,047,Poison,150,70,75,80,75,150,https://wiki.cassettebeasts.com/wiki/Nevermort
Apocrowlypse,048,Poison,160,120,120,120,120,160,https://wiki.cassettebeasts.com/wiki/Apocrowlypse
Clocksley,049,Plastic,80,80,80,150,130,80,https://wiki.cassettebeasts.com/wiki/Clocksley
Robindam,050,Plastic,110,110,110,200,150,120,https://wiki.cassettebeasts.com/wiki/Robindam
Thwackalope,051,Air,110,180,110,110,110,180,https://wiki.cassettebeasts.com/wiki/Thwackalope
Allseer,052,Metal,100,50,120,150,80,100,https://wiki.cassettebeasts.com/wiki/Allseer
Khufo,053,Astral,120,160,140,160,100,120,https://wiki.cassettebeasts.com/wiki/Khufo
Triphinx,054,Metal,140,50,140,190,140,140,https://wiki.cassettebeasts.com/wiki/Triphinx
Braxsuit,055,Air,100,100,70,100,90,140,https://wiki.cassettebeasts.com/wiki/Braxsuit
Flapwoods,056,Air,140,140,100,140,100,180,https://wiki.cassettebeasts.com/wiki/Flapwoods
Sanzatime,057,Earth,100,120,120,100,110,50,https://wiki.cassettebeasts.com/wiki/Sanzatime
Fortiwinx,058,Earth,130,165,155,130,140,80,https://wiki.cassettebeasts.com/wiki/Fortiwinx
Salamagus,059,Fire,100,50,80,150,120,100,https://wiki.cassettebeasts.com/wiki/Salamagus
Pyromeleon,060,Fire,150,60,100,200,150,140,https://wiki.cassettebeasts.com/wiki/Pyromeleon
Muskrateer,061,Beast,80,100,80,80,80,120,https://wiki.cassettebeasts.com/wiki/Muskrateer
Ratcousel,062,Plastic,136,136,136,136,136,120,https://wiki.cassettebeasts.com/wiki/Ratcousel
Padpole,063,Water,120,120,80,80,80,120,https://wiki.cassettebeasts.com/wiki/Padpole
Frillypad,064,Water,140,180,100,100,100,140,https://wiki.cassettebeasts.com/wiki/Frillypad
Liligator,065,Water,150,200,100,100,100,150,https://wiki.cassettebeasts.com/wiki/Liligator
Elfless,066,Ice,100,100,100,100,100,100,https://wiki.cassettebeasts.com/wiki/Elfless
Grampus,067,Ice,160,150,160,100,130,100,https://wiki.cassettebeasts.com/wiki/Grampus
Faerious,068,Ice,160,160,100,120,100,160,https://wiki.cassettebeasts.com/wiki/Faerious
Brushroom,069,Plant,100,100,100,90,110,100,https://wiki.cassettebeasts.com/wiki/Brushroom
Fungogh,070,Plant,120,160,160,100,140,120,https://wiki.cassettebeasts.com/wiki/Fungogh
Boltam,071,Lightning,90,90,90,90,90,150,https://wiki.cassettebeasts.com/wiki/Boltam
Plasmantler,072,Lightning,120,120,120,120,160,160,https://wiki.cassettebeasts.com/wiki/Plasmantler
Busheye,073,Plant,150,90,90,90,90,90,https://wiki.cassettebeasts.com/wiki/Busheye
Huntorch,074,Plant,150,140,90,90,90,140,https://wiki.cassettebeasts.com/wiki/Huntorch
Hedgeherne,075,Plant,150,140,110,140,110,150,https://wiki.cassettebeasts.com/wiki/Hedgeherne
Terracooka,076,Earth,100,110,110,100,100,80,https://wiki.cassettebeasts.com/wiki/Terracooka
Coaldron,077,Earth,160,110,140,160,140,90,https://wiki.cassettebeasts.com/wiki/Coaldron
Stardigrade,078,Astral,180,40,150,40,150,40,https://wiki.cassettebeasts.com/wiki/Stardigrade
Galagor,079,Astral,200,60,180,150,150,60,https://wiki.cassettebeasts.com/wiki/Galagor
Mascotoy,080,Plastic,120,150,100,80,80,70,https://wiki.cassettebeasts.com/wiki/Mascotoy
Mascotorn,081,Plastic,150,200,150,100,110,90,https://wiki.cassettebeasts.com/wiki/Mascotorn
Binvader,082,Metal,90,90,140,140,90,50,https://wiki.cassettebeasts.com/wiki/Binvader
Binterloper,083,Plastic,110,110,170,170,110,110,https://wiki.cassettebeasts.com/wiki/Binterloper
Twirligig,084,Plant,190,50,150,50,150,10,https://wiki.cassettebeasts.com/wiki/Twirligig
Kirikuri,085,Plant,190,160,150,70,110,120,https://wiki.cassettebeasts.com/wiki/Kirikuri
Jellyton,086,Poison,120,200,130,150,90,110,https://wiki.cassettebeasts.com/wiki/Jellyton
Spirouette,087,Water,140,70,70,110,70,140,https://wiki.cassettebeasts.com/wiki/Spirouette
Regensea,088,Water,170,115,100,145,100,170,https://wiki.cassettebeasts.com/wiki/Regensea
Jumpkin,089,Plant,130,100,100,75,100,140,https://wiki.cassettebeasts.com/wiki/Jumpkin
Beanstalker,090,Plant,140,185,110,100,100,165,https://wiki.cassettebeasts.com/wiki/Beanstalker
Draculeaf,091,Plant,160,125,125,125,125,140,https://wiki.cassettebeasts.com/wiki/Draculeaf
