Monster,Move
Magikrab,AP Boost
Magikrab,AP Drain
Magikrab,AP Refund
Magikrab,AP Starter
Magikrab,AP Steal
Magikrab,Astral Camouflage
Magikrab,Astral Coating
Magikrab,Astral Resistance
Magikrab,Astral Wall
Magikrab,Berserker
Magikrab,Bish Bash Bosh
Magikrab,Bloodlust
Magikrab,Boil
Magikrab,Bottle Volley
Magikrab,Breathing Technique
Magikrab,Call For Help
Magikrab,Change the Record
Magikrab,Clobber
Magikrab,Compliment
Magikrab,Critical AP
Magikrab,Criticise
Magikrab,Crossfade
Magikrab,Custom Starter
Magikrab,Defend
Magikrab,Delegate
Magikrab,Desperation
Magikrab,Dodge
Magikrab,Double Slice
Magikrab,Double Smack
Magikrab,Déjà Vu
Magikrab,Elemental Coating
Magikrab,Elemental Wall
Magikrab,Energy Shot
Magikrab,Energy Wave
Magikrab,Focus
Magikrab,Galactic Beatdown
Magikrab,Gambit
Magikrab,Gasoline Spray
Magikrab,Glass Resistance
Magikrab,Haunt
Magikrab,Headshot
Magikrab,Hypnotise
Magikrab,Incinerate
Magikrab,Inflame
Magikrab,Insomnia
Magikrab,Last Rites
Magikrab,Machine Curse
Magikrab,Magic Tome
Magikrab,Meditate
Magikrab,Mind-Meld
Magikrab,Multi Shot
Magikrab,Multi Smack
Magikrab,Neutralise
Magikrab,Nod
Magikrab,Parry Stance
Magikrab,Peekaboo
Magikrab,Phase Shift
Magikrab,Pity AP
Magikrab,Plastic Camouflage
Magikrab,Plastic Coating
Magikrab,Plastic Wall
Magikrab,Pre-emptive Strike
Magikrab,Provoke
Magikrab,Raise Arms
Magikrab,Raise Shields
Magikrab,Random Starter
Magikrab,Recycle
Magikrab,Revenge Strike
Magikrab,Ritual
Magikrab,Roll Again
Magikrab,Sharpen
Magikrab,Shooting Star
Magikrab,Slice
Magikrab,Smack
Magikrab,Spit
Magikrab,Spray
Magikrab,Sprint
Magikrab,Taunt
Magikrab,The Old 1-2
Magikrab,Torrent
Magikrab,Traffic Jam
Magikrab,Trick
Magikrab,Trip
Magikrab,Undertow
Magikrab,Vengeful Curse
Magikrab,Wallop
Magikrab,Water Camouflage
Magikrab,Water Coating
Magikrab,Waterproof
Magikrab,Wink
Springheel,Air Camouflage
Springheel,Air Coating
Springheel,Air Resistance
Springheel,Air Wall
Springheel,AP Boost
Springheel,AP Drain
Springheel,AP Refund
Springheel,AP Starter
Springheel,AP Steal
Springheel,Battery
Springheel,Beast Camouflage
Springheel,Beast Coating
Springheel,Beast Resistance
Springheel,Beast Wall
Springheel,Berserker
Springheel,Bish Bash Bosh
Springheel,Bite
Springheel,Blood Donation
Springheel,Bloodlust
Springheel,Bone Cannon
Springheel,Call For Help
Springheel,Change the Record
Springheel,Clobber
Springheel,Compliment
Springheel,Copper Chop
Springheel,Critical AP
Springheel,Criticise
Springheel,Crossfade
Springheel,Custom Starter
Springheel,Defend
Springheel,Delegate
Springheel,Desperation
Springheel,Dodge
Springheel,Double Slice
Springheel,Double Smack
Springheel,Dual Wield
Springheel,Déjà Vu
Springheel,Elemental Coating
Springheel,Elemental Wall
Springheel,Energy Shot
Springheel,Energy Wave
Springheel,Focus
Springheel,Frozen Ground
Springheel,Gambit
Springheel,Gasoline Spray
Springheel,Grounded
Springheel,Headshot
Springheel,Hypnotise
Springheel,Icicle Dart
Springheel,Jump Scare
Springheel,Last Rites
Springheel,Liftoff
Springheel,Machine Curse
Springheel,Multi Shot
Springheel,Multi Smack
Springheel,Neutralise
Springheel,Nod
Springheel,Parry Stance
Springheel,Peekaboo
Springheel,Pity AP
Springheel,Pre-emptive Strike
Springheel,Provoke
Springheel,Quick Smack
Springheel,Raise Arms
Springheel,Raise Shields
Springheel,Random Starter
Springheel,Rapid Fire
Springheel,Revenge Strike
Springheel,Roll Again
Springheel,Sharpen
Springheel,Slice
Springheel,Smack
Springheel,Snow Rush
Springheel,Sonic Boom
Springheel,Spit
Springheel,Spray
Springheel,Sprint
Springheel,Superheated Fist
Springheel,Taunt
Springheel,The Old 1-2
Springheel,Throw
Springheel,Toy Hammer
Springheel,Trick
Springheel,Trip
Springheel,Wallop
Springheel,Wink
Springheel,Zephyr
Hopskin,Air Camouflage
Hopskin,Air Coating
Hopskin,Air Resistance
Hopskin,Air Wall
Hopskin,AP Boost
Hopskin,AP Drain
Hopskin,AP Refund
Hopskin,AP Starter
Hopskin,AP Steal
Hopskin,Battery
Hopskin,Beast Camouflage
Hopskin,Beast Coating
Hopskin,Beast Resistance
Hopskin,Beast Wall
Hopskin,Berserker
Hopskin,Bish Bash Bosh
Hopskin,Bite
Hopskin,Blood Donation
Hopskin,Bloodlust
Hopskin,Bone Cannon
Hopskin,Call For Help
Hopskin,Change the Record
Hopskin,Clobber
Hopskin,Compliment
Hopskin,Copper Chop
Hopskin,Critical AP
Hopskin,Criticise
Hopskin,Crossfade
Hopskin,Custom Starter
Hopskin,Defend
Hopskin,Delegate
Hopskin,Desperation
Hopskin,Dodge
Hopskin,Double Slice
Hopskin,Double Smack
Hopskin,Dual Wield
Hopskin,Déjà Vu
Hopskin,Elemental Coating
Hopskin,Elemental Wall
Hopskin,Energy Shot
Hopskin,Energy Wave
Hopskin,Focus
Hopskin,Frozen Ground
Hopskin,Gambit
