Move,Monster
Abramacabra,Folklord
Abramacabra,Macabra
Acid Reflex,Jellyton
Acorn Mortar,Allseer
Acorn Mortar,Artillerex
Acorn Mortar,Beanstalker
Acorn Mortar,Binterloper
Acorn Mortar,Binvader
Acorn Mortar,Blossomaw
Acorn Mortar,Blunderbusk
Acorn Mortar,Brushroom
Acorn Mortar,Bulletino
Acorn Mortar,Busheye
Acorn Mortar,Charlequin
Acorn Mortar,Dandylion
Acorn Mortar,Draculeaf
Acorn Mortar,Fragliacci
Acorn Mortar,Frillypad
Acorn Mortar,Fungogh
Acorn Mortar,Galagor
Acorn Mortar,Gearyu
Acorn Mortar,Hedgeherne
Acorn Mortar,Huntorch
Acorn Mortar,Jumpkin
Acorn Mortar,Khufo
Acorn Mortar,Kirikuri
Acorn Mortar,Liligator
Acorn Mortar,Padpole
Acorn Mortar,Rosehood
Acorn Mortar,Triphinx
Acorn Mortar,Twirligig
Acorn Mortar,Velocirifle
Air Camouflage,Allseer
Air Camouflage,Apocrowlypse
Air Camouflage,Brushroom
Air Camouflage,Cryoshear
Air Camouflage,Fungogh
Air Camouflage,Galagor
Air Camouflage,Glaistain
Air Camouflage,Hopskin
Air Camouflage,Icepeck
Air Camouflage,Jormungold
Air Camouflage,Khepri
Air Camouflage,Khufo
Air Camouflage,Majortom
Air Camouflage,Minortom
Air Camouflage,Mothmanic
Air Camouflage,Nevermort
Air Camouflage,Ramtasm
Air Camouflage,Ripterra
Air Camouflage,Scampire
Air Camouflage,Shining Kuneko
Air Camouflage,Snoopin
Air Camouflage,Sparktan
Air Camouflage,Spitzfyre
Air Camouflage,Spooki-onna
Air Camouflage,Springheel
Air Camouflage,Stardigrade
Air Camouflage,Triphinx
Air Camouflage,Umbrahella
Air Camouflage,Wingloom
Air Camouflage,Wooltergeist
Air Camouflage,Zeustrike
Air Coating,Aeroboros
Air Coating,Allseer
Air Coating,Apocrowlypse
Air Coating,Averevoir
Air Coating,Braxsuit
Air Coating,Brushroom
Air Coating,Cluckabilly
Air Coating,Cryoshear
Air Coating,Decibelle
Air Coating,Dominoth
Air Coating,Flapwoods
Air Coating,Fungogh
Air Coating,Galagor
Air Coating,Glaistain
Air Coating,Hauntome
Air Coating,Hopskin
Air Coating,Icepeck
Air Coating,Jormungold
Air Coating,Khepri
Air Coating,Khufo
Air Coating,Kuneko
Air Coating,Majortom
Air Coating,Minortom
Air Coating,Mothmanic
Air Coating,Nevermort
Air Coating,Ramtasm
Air Coating,Ripterra
Air Coating,Rockertrice
Air Coating,Scampire
Air Coating,Shining Kuneko
Air Coating,Sirenade
Air Coating,Snoopin
Air Coating,Sparktan
Air Coating,Spitzfyre
Air Coating,Spooki-onna
Air Coating,Springheel
Air Coating,Stardigrade
Air Coating,Thwackalope
Air Coating,Tokusect
Air Coating,Triphinx
Air Coating,Umbrahella
Air Coating,Wingloom
Air Coating,Wooltergeist
Air Coating,Zeustrike
Air Resistance,Aeroboros
Air Resistance,Allseer
Air Resistance,Apocrowlypse
Air Resistance,Averevoir
Air Resistance,Braxsuit
Air Resistance,Burnace
Air Resistance,Cat-5
Air Resistance,Cluckabilly
Air Resistance,Cryoshear
Air Resistance,Decibelle
Air Resistance,Dominoth
Air Resistance,Flapwoods
Air Resistance,Galagor
Air Resistance,Glaistain
Air Resistance,Hauntome
Air Resistance,Hopskin
Air Resistance,Icepeck
Air Resistance,Jormungold
Air Resistance,Khepri
Air Resistance,Khufo
Air Resistance,Kittelly
Air Resistance,Kuneko
Air Resistance,Majortom
Air Resistance,Minortom
Air Resistance,Mothmanic
Air Resistance,Nevermort
Air Resistance,Ramtasm
Air Resistance,Ripterra
Air Resistance,Rockertrice
Air Resistance,Scampire
Air Resistance,Shining Kuneko
Air Resistance,Sirenade
Air Resistance,Smogmagog
Air Resistance,Snoopin
Air Resistance,Sparktan
Air Resistance,Spitzfyre
Air Resistance,Spooki-onna
Air Resistance,Springheel
Air Resistance,Stardigrade
Air Resistance,Thwackalope
Air Resistance,Tokusect
Air Resistance,Triphinx
Air Resistance,Umbrahella
Air Resistance,Wingloom
Air Resistance,Wooltergeist
Air Resistance,Zeustrike
Air Wall,Aeroboros
Air Wall,Allseer
Air Wall,Apocrowlypse
Air Wall,Averevoir
Air Wall,Braxsuit
Air Wall,Cluckabilly
Air Wall,Cryoshear
Air Wall,Decibelle
Air Wall,Dominoth
Air Wall,Flapwoods
Air Wall,Galagor
Air Wall,Glaistain
Air Wall,Hauntome
Air Wall,Hopskin
Air Wall,Icepeck
Air Wall,Jormungold
Air Wall,Khepri
Air Wall,Khufo
Air Wall,Kuneko
Air Wall,Lobstacle
Air Wall,Majortom
Air Wall,Minortom
Air Wall,Mothmanic
Air Wall,Nevermort
Air Wall,Ramtasm
Air Wall,Ripterra
Air Wall,Rockertrice
Air Wall,Scampire
Air Wall,Shining Kuneko
Air Wall,Sirenade
Air Wall,Snoopin
Air Wall,Sparktan
Air Wall,Spitzfyre
Air Wall,Spooki-onna
Air Wall,Springheel
Air Wall,Stardigrade
Air Wall,Thwackalope
Air Wall,Tokusect
Air Wall,Triphinx
Air Wall,Umbrahella
Air Wall,Wingloom
Air Wall,Wooltergeist
Air Wall,Zeustrike
AP Boost,Adeptile
AP Boost,Aeroboros
AP Boost,Allseer
AP Boost,Amphare
AP Boost,Anathema
AP Boost,Apocrowlypse
AP Boost,Arkidd
AP Boost,Artillerex
AP Boost,Auriclaw
AP Boost,Averevoir
AP Boost,Bansheep
AP Boost,Beanstalker
AP Boost,Binterloper
AP Boost,Binvader
AP Boost,Blossomaw
AP Boost,Blunderbusk
AP Boost,Boltam
AP Boost,Braxsuit
AP Boost,Brushroom
AP Boost,Bulletino
AP Boost,Burnace
AP Boost,Busheye
AP Boost,Candevil
AP Boost,Capricorpse
AP Boost,Carniviper
AP Boost,Cat-5
AP Boost,Charlequin
AP Boost,Clocksley
AP Boost,Cluckabilly
AP Boost,Coaldron
AP Boost,Cryoshear
AP Boost,Dandylion
AP Boost,Decibelle
AP Boost,Diveal
AP Boost,Diveberg
AP Boost,Djinn Entonic
AP Boost,Dominoth
AP Boost,Draculeaf
AP Boost,Elfless
AP Boost,Faerious
AP Boost,Faucetear
AP Boost,Ferriclaw
AP Boost,Flapwoods
AP Boost,Folklord
AP Boost,Fortiwinx
AP Boost,Fountess
AP Boost,Fragliacci
AP Boost,Frillypad
AP Boost,Fungogh
AP Boost,Galagor
AP Boost,Gearyu
AP Boost,Glaistain
AP Boost,Grampus
AP Boost,Gumbaal
AP Boost,Hauntome
AP Boost,Hedgeherne
AP Boost,Hopskin
AP Boost,Huntorch
AP Boost,Icepeck
AP Boost,Jellyton
AP Boost,Jormungold
AP Boost,Jumpkin
AP Boost,Khepri
AP Boost,Khufo
AP Boost,Kingrave
AP Boost,Kirikuri
AP Boost,Kittelly
AP Boost,Kuneko
AP Boost,Lapacitor
AP Boost,Liligator
AP Boost,Littlered
AP Boost,Lobstacle
AP Boost,Macabra
AP Boost,Magikrab
AP Boost,Majortom
AP Boost,Malchemy
AP Boost,Manispear
AP Boost,Mardiusa
AP Boost,Mascotorn
AP Boost,Mascotoy
AP Boost,Masquerattle
AP Boost,Miasmodeus
AP Boost,Minortom
AP Boost,Miss Mimic
AP Boost,Mothmanic
AP Boost,Muskrateer
AP Boost,Nevermort
AP Boost,Padpole
AP Boost,Palangolin
AP Boost,Pawndead
AP Boost,Picksie
AP Boost,Pinbolt
AP Boost,Plasmantler
AP Boost,Pombomb
AP Boost,Pondwalker
AP Boost,Puppercut
AP Boost,Pyromeleon
AP Boost,Queenyx
AP Boost,Ramtasm
AP Boost,Ratcousel
AP Boost,Regensea
AP Boost,Ripterra
AP Boost,Robindam
AP Boost,Rockertrice
AP Boost,Rosehood
AP Boost,Salamagus
AP Boost,Sanzatime
AP Boost,Scampire
AP Boost,Scarleteeth
AP Boost,Scubalrus
AP Boost,Sharktanker
AP Boost,Shining Kuneko
AP Boost,Sirenade
AP Boost,Skelevangelist
AP Boost,Smogmagog
AP Boost,Snoopin
AP Boost,Southpaw
AP Boost,Sparktan
AP Boost,Spirouette
AP Boost,Spitzfyre
AP Boost,Spooki-onna
AP Boost,Springheel
AP Boost,Squirey
AP Boost,Stardigrade
AP Boost,Terracooka
AP Boost,Thwackalope
AP Boost,Tokusect
AP Boost,Traffikrab
AP Boost,Trapwurm
AP Boost,Triphinx
AP Boost,Twirligig
AP Boost,Umbrahella
AP Boost,Undyin
AP Boost,Velocirifle
AP Boost,Vendemon
AP Boost,Weevilite
AP Boost,Wingloom
AP Boost,Wooltergeist
AP Boost,Wyrmaw
AP Boost,Zeustrike
AP Boost,Zombleat
AP Donate,Blossomaw
AP Donate,Clocksley
AP Donate,Dandylion
AP Donate,Decibelle
AP Donate,Elfless
AP Donate,Faerious
AP Donate,Grampus
AP Donate,Kingrave
AP Donate,Muskrateer
AP Donate,Pawndead
AP Donate,Queenyx
AP Donate,Ratcousel
AP Donate,Robindam
AP Donate,Sirenade
AP Donate,Skelevangelist
AP Drain,Adeptile
AP Drain,Aeroboros
AP Drain,Allseer
AP Drain,Amphare
AP Drain,Anathema
AP Drain,Apocrowlypse
AP Drain,Arkidd
AP Drain,Artillerex
AP Drain,Auriclaw
AP Drain,Averevoir
AP Drain,Bansheep
AP Drain,Beanstalker
AP Drain,Binterloper
AP Drain,Binvader
AP Drain,Blossomaw
AP Drain,Blunderbusk
AP Drain,Boltam
AP Drain,Braxsuit
AP Drain,Brushroom
AP Drain,Bulletino
AP Drain,Burnace
AP Drain,Busheye
AP Drain,Candevil
AP Drain,Capricorpse
AP Drain,Carniviper
AP Drain,Cat-5
AP Drain,Charlequin
AP Drain,Clocksley
AP Drain,Cluckabilly
AP Drain,Coaldron
AP Drain,Cryoshear
AP Drain,Dandylion
AP Drain,Decibelle
AP Drain,Diveal
AP Drain,Diveberg
AP Drain,Djinn Entonic
AP Drain,Dominoth
AP Drain,Draculeaf
AP Drain,Elfless
AP Drain,Faerious
AP Drain,Faucetear
AP Drain,Ferriclaw
AP Drain,Flapwoods
AP Drain,Folklord
AP Drain,Fortiwinx
AP Drain,Fountess
AP Drain,Fragliacci
AP Drain,Frillypad
AP Drain,Fungogh
AP Drain,Galagor
AP Drain,Gearyu
AP Drain,Glaistain
AP Drain,Grampus
AP Drain,Gumbaal
AP Drain,Hauntome
AP Drain,Hedgeherne
AP Drain,Hopskin
AP Drain,Huntorch
AP Drain,Icepeck
AP Drain,Jellyton
AP Drain,Jormungold
AP Drain,Jumpkin
AP Drain,Khepri
AP Drain,Khufo
AP Drain,Kingrave
AP Drain,Kirikuri
AP Drain,Kittelly
AP Drain,Kuneko
AP Drain,Lapacitor
AP Drain,Liligator
AP Drain,Littlered
AP Drain,Lobstacle
AP Drain,Macabra
AP Drain,Magikrab
AP Drain,Majortom
AP Drain,Malchemy
AP Drain,Manispear
AP Drain,Mardiusa
AP Drain,Mascotorn
AP Drain,Mascotoy
AP Drain,Masquerattle
AP Drain,Miasmodeus
AP Drain,Minortom
AP Drain,Miss Mimic
AP Drain,Mothmanic
